"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NIFTY","30-Nov-2018","28-Feb-2019","11000","11036.1","10933.95","10982.7","10992.9","10982.7","352","2902.87","19275","19275","      10876.75"
"NIFTY","03-Dec-2018","28-Feb-2019","10906.25","11060.7","10906.25","10998.95","11005","10998.95","446","3678.8","33375","14100","-"
"NIFTY","04-Dec-2018","28-Feb-2019","10987","11001.8","10950","10988.55","10980.7","10988.55","624","5141.67","62925","29550","-"
"NIFTY","05-Dec-2018","28-Feb-2019","10930.1","10938.75","10870","10906.25","10915","10906.25","282","2306.24","69375","6450","      10782.90"
"NIFTY","06-Dec-2018","28-Feb-2019","10845.6","10845.6","10693.2","10705.1","10699.65","10705.1","469","3787.05","78900","9525","-"
"NIFTY","07-Dec-2018","28-Feb-2019","10759.9","10829.25","10720","10810.5","10829.25","10810.5","699","5639.77","89025","10125","      10693.70"
"NIFTY","10-Dec-2018","28-Feb-2019","10670","10681.05","10577","10589.8","10580","10589.8","774","6164.81","103275","14250","-"
"NIFTY","11-Dec-2018","28-Feb-2019","10451.1","10680","10438.5","10663.5","10657.9","10663.5","1411","11186.03","107325","4050","      10549.15"
"NIFTY","12-Dec-2018","28-Feb-2019","10661","10875.35","10661","10860.7","10853","10860.7","1005","8130.52","126000","18675","      10737.60"
"NIFTY","13-Dec-2018","28-Feb-2019","10907.75","10960","10860","10899.4","10896","10899.4","856","7003.34","146250","20250","      10791.55"
"NIFTY","14-Dec-2018","28-Feb-2019","10857.05","10906.55","10851","10896.5","10900","10896.5","423","3454","157125","10875","-"
"NIFTY","17-Dec-2018","28-Feb-2019","10928.15","11000","10928.15","10988.3","10987.05","10988.3","595","4895.67","162075","4950","      10888.35"
"NIFTY","18-Dec-2018","28-Feb-2019","10945.15","11020","10916","11013","11018","11013","764","6284.88","174825","12750","-"
"NIFTY","19-Dec-2018","28-Feb-2019","11034.35","11083.25","11027","11063.5","11060","11063.5","969","8031.33","205050","30225","      10967.30"
"NIFTY","20-Dec-2018","28-Feb-2019","11000.1","11067","10974","11054.4","11057.6","11054.4","794","6561.52","208350","3300","-"
"NIFTY","21-Dec-2018","28-Feb-2019","11047.45","11055.15","10837.25","10845.5","10843.05","10845.5","1509","12353.78","224100","15750","-"
"NIFTY","24-Dec-2018","28-Feb-2019","10851","10864.95","10737.15","10755.9","10773.2","10755.9","1987","16099.1","246150","22050","-"
"NIFTY","26-Dec-2018","28-Feb-2019","10722.15","10845","10614","10827.45","10832.05","10827.45","4973","39989.76","350025","103875","      10729.85"
"NIFTY","27-Dec-2018","28-Feb-2019","10882.4","10910","10833","10842.15","10835","10842.15","5355","43649.37","510150","160125","-"
"NIFTY","28-Dec-2018","28-Feb-2019","10885.2","10975.75","10885.2","10941.15","10949.25","10941.15","2407","19762.04","519450","9300","-"
"NIFTY","31-Dec-2018","28-Feb-2019","10990","10997.9","10935.8","10948.8","10954.1","10948.8","1924","15813.67","540300","20850","      10862.55"
"NIFTY","01-Jan-2019","28-Feb-2019","10953.3","11000.95","10876.45","10995.65","10995.6","10995.65","1783","14626.54","534150","-6150","      10910.10"
"NIFTY","02-Jan-2019","28-Feb-2019","10950","10970","10793.2","10862.85","10855.15","10862.85","5232","42717.4","662850","128700","      10792.50"
"NIFTY","03-Jan-2019","28-Feb-2019","10864.9","10889.75","10744.1","10750.9","10745.05","10750.9","4659","37752.77","783975","121125","      10672.25"
"NIFTY","04-Jan-2019","28-Feb-2019","10781","10825","10710.05","10811.35","10815","10811.35","5362","43385.62","978000","194025","      10727.35"
"NIFTY","07-Jan-2019","28-Feb-2019","10893.55","10922.95","10810","10836.85","10831.7","10836.85","3150","25682.06","1050150","72150","-"
"NIFTY","08-Jan-2019","28-Feb-2019","10821.35","10900.45","10800","10877.65","10867.35","10877.65","3707","30181.46","1070100","19950","-"
"NIFTY","09-Jan-2019","28-Feb-2019","10930.55","10935","10800","10906.65","10901.7","10906.65","4765","38927.07","1134300","64200","      10855.15"
"NIFTY","10-Jan-2019","28-Feb-2019","10914.9","10921","10865.85","10887.3","10880","10887.3","1489","12166.04","1146150","11850","      10821.60"
"NIFTY","11-Jan-2019","28-Feb-2019","10890","10913.95","10806","10861.6","10845","10861.6","3112","25331.59","1214100","67950","      10794.95"
"NIFTY","14-Jan-2019","28-Feb-2019","10834","10834.8","10752.6","10801.95","10800.1","10801.95","4022","32541.09","1305975","91875","      10737.60"
"NIFTY","15-Jan-2019","28-Feb-2019","10836","10970.1","10836","10957.95","10953.3","10957.95","7846","64211","1566000","260025","-"
"NIFTY","16-Jan-2019","28-Feb-2019","10956.6","10990","10936.8","10952.2","10953.35","10952.2","14502","119267.9","2141925","575925","      10890.30"
"NIFTY","17-Jan-2019","28-Feb-2019","10970","10988.2","10889","10957.85","10947.25","10957.85","11994","98448.08","2383350","241425","      10905.20"
"NIFTY","18-Jan-2019","28-Feb-2019","10971","10991.8","10910","10963.1","10966.75","10963.1","6559","53845.84","2550600","167250","-"
"NIFTY","21-Jan-2019","28-Feb-2019","10963.15","11032.95","10935","10998.85","10995.8","10998.85","8022","66212.68","2563050","12450","-"
"NIFTY","22-Jan-2019","28-Feb-2019","10967.9","10976.2","10914","10967.1","10965","10967.1","6871","56452.46","2553075","-9975","      10922.75"
"NIFTY","23-Jan-2019","28-Feb-2019","10997.9","10997.95","10868.05","10891","10880","10891","10865","89171.39","2590425","37350","      10831.50"
"NIFTY","24-Jan-2019","28-Feb-2019","10879.55","10939","10845.6","10901.45","10913","10901.45","13836","112922.49","2611650","21225","      10849.80"
"NIFTY","25-Jan-2019","28-Feb-2019","10937.5","10987","10798.95","10818.55","10821.7","10818.55","23432","191685.18","3045900","434250","      10780.55"
"NIFTY","28-Jan-2019","28-Feb-2019","10830","10856","10681.35","10711.25","10729","10711.25","55691","448580.48","5116425","2070525","-"
"NIFTY","29-Jan-2019","28-Feb-2019","10709.55","10738.05","10637","10699.2","10732.95","10699.2","94293","756004.99","9887250","4770825","      10652.20"
"NIFTY","30-Jan-2019","28-Feb-2019","10718","10749.7","10640.1","10673","10663.15","10673","101027","809754.54","12628875","2741625","      10651.80"
"NIFTY","31-Jan-2019","28-Feb-2019","10710","10868.1","10708.15","10856.2","10850.9","10856.2","154676","1252192.37","17199075","4570200","      10830.95"
